model,press
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio,3.806346232
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff + apoe_binary,3.809343076
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.809385901
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + age_at_appointment,3.809726337
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + age_at_appointment,3.811191085
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + time_diff + apoe_binary,3.811607997
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + apoe_binary,3.812342449
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + time_diff,3.81249073
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + time_diff + apoe_binary,3.81290626
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + time_diff,3.813603036
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + apoe_binary,3.814648765
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.815044376
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.815631486
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + age_at_appointment + apoe_binary,3.815967212
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment,3.817788588
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + age_at_appointment + apoe_binary,3.818520127
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + age_at_appointment + time_diff,3.819681697
Amyloid_PET ~ pTau217 + GFAP + NFL + sex + Calculated_Consensus_dx + apoe_ternary,3.819739535
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + age_at_appointment,3.820222407
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + age_at_appointment + time_diff,3.820449767
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + time_diff + apoe_binary,3.820608356
Amyloid_PET ~ pTau217 + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.820759868
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.821086811
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + time_diff + apoe_binary,3.82235707
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.822916141
Amyloid_PET ~ ptau181 + pTau217 + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.823119863
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + apoe_binary,3.823197596
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.8237026
Amyloid_PET ~ pTau217 + GFAP + sex + Calculated_Consensus_dx + apoe_ternary,3.824417388
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.825253799
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.826202739
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + age_at_appointment + apoe_binary,3.826750376
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + age_at_appointment + time_diff + apoe_binary,3.827007923
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff,3.82778576
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.828304566
Amyloid_PET ~ ptau181 + pTau217 + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.828449084
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + age_at_appointment + time_diff + apoe_binary,3.828923383
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + sex + Calculated_Consensus_dx + apoe_ternary,3.82929959
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff,3.829478983
Amyloid_PET ~ ptau181 + pTau217 + GFAP + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.829688901
Amyloid_PET ~ pTau217 + GFAP + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.831474584
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.831945462
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.833236813
Amyloid_PET ~ pTau217 + GFAP + NFL + Calculated_Consensus_dx + apoe_ternary,3.833361158
Amyloid_PET ~ pTau217 + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.833840664
Amyloid_PET ~ ptau181 + pTau217 + GFAP + sex + Calculated_Consensus_dx + apoe_ternary,3.833916222
Amyloid_PET ~ pTau217 + sex + Calculated_Consensus_dx + apoe_ternary,3.834296846
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff + apoe_binary,3.834306191
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.835164471
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.835180982
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.835550566
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + Calculated_Consensus_dx + apoe_ternary,3.835768664
Amyloid_PET ~ ptau181 + pTau217 + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.83670337
Amyloid_PET ~ pTau217 + GFAP + Calculated_Consensus_dx + apoe_ternary,3.836989988
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.837184613
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff + apoe_binary,3.837187438
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Calculated_Consensus_dx + apoe_ternary,3.83952273
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.840771217
Amyloid_PET ~ ptau181 + pTau217 + GFAP + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.841519264
Amyloid_PET ~ ptau181 + pTau217 + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.841889351
Amyloid_PET ~ pTau217 + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.842004782
Amyloid_PET ~ ptau181 + pTau217 + GFAP + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.842209452
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + time_diff + Calculated_Consensus_dx + apoe_ternary,3.842792436
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.842934808
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Calculated_Consensus_dx + apoe_ternary,3.843238056
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.843320541
Amyloid_PET ~ ptau181 + pTau217 + GFAP + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.843419685
Amyloid_PET ~ pTau217 + GFAP + time_diff + Calculated_Consensus_dx + apoe_ternary,3.843490079
Amyloid_PET ~ ptau231 + pTau217 + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.843581444
Amyloid_PET ~ pTau217 + NFL + sex + Calculated_Consensus_dx + apoe_ternary,3.843639655
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.844733759
Amyloid_PET ~ pTau217 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.845283739
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + sex + apoe_ternary,3.845810972
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.846746058
Amyloid_PET ~ ptau181 + pTau217 + sex + Calculated_Consensus_dx + apoe_ternary,3.847159132
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.847874653
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + sex + Calculated_Consensus_dx + apoe_ternary,3.847912576
Amyloid_PET ~ ptau231 + pTau217 + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.848615635
Amyloid_PET ~ ptau181 + pTau217 + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.84983241
Amyloid_PET ~ ptau181 + pTau217 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.850222074
Amyloid_PET ~ pTau217 + GFAP + NFL + sex + apoe_ternary,3.850234634
Amyloid_PET ~ pTau217 + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.850288966
Amyloid_PET ~ ptau181 + pTau217 + GFAP + time_diff + Calculated_Consensus_dx + apoe_ternary,3.850348857
Amyloid_PET ~ ptau231 + pTau217 + GFAP + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.850392648
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx,3.850962672
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.851065005
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.851572117
Amyloid_PET ~ ptau231 + pTau217 + GFAP + sex + Calculated_Consensus_dx + apoe_ternary,3.8517099
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.851877402
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + sex + Calculated_Consensus_dx,3.851949136
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.852163413
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.852475834
Amyloid_PET ~ pTau217 + GFAP + NFL + sex + Calculated_Consensus_dx,3.85297885
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + sex + apoe_ternary,3.853125763
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.853873617
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + sex + Calculated_Consensus_dx + apoe_ternary,3.854126026
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.854806329
Amyloid_PET ~ pTau217 + GFAP + sex + apoe_ternary,3.854898008
Amyloid_PET ~ pTau217 + GFAP + NFL + sex + Calculated_Consensus_dx + apoe_binary,3.85490038
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.854995754
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + apoe_ternary,3.855066153
Amyloid_PET ~ pTau217 + Calculated_Consensus_dx + apoe_ternary,3.855146342
Amyloid_PET ~ ptau181 + pTau217 + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.855288166
Amyloid_PET ~ ptau181 + pTau217 + GFAP + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.855408286
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.856589317
Amyloid_PET ~ ptau231 + pTau217 + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.856779638
Amyloid_PET ~ ptau181 + pTau217 + NFL + sex + Calculated_Consensus_dx + apoe_ternary,3.857015912
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.857142349
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.857352462
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.857732063
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.857791495
Amyloid_PET ~ pTau217 + GFAP + NFL + apoe_ternary,3.85793336
Amyloid_PET ~ pTau217 + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.858156386
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + apoe_ternary,3.858159438
Amyloid_PET ~ ptau231 + pTau217 + GFAP + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.858855129
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + sex + apoe_ternary,3.859133551
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + apoe_ternary,3.859239054
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + sex + apoe_ternary,3.859366377
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + sex + Calculated_Consensus_dx + apoe_ternary,3.859459668
Amyloid_PET ~ pTau217 + age_at_appointment + sex + apoe_ternary,3.860923111
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Calculated_Consensus_dx + apoe_ternary,3.860927055
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + sex + apoe_ternary,3.861174425
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.861361547
Amyloid_PET ~ pTau217 + GFAP + time_diff + sex + apoe_ternary,3.86138238
Amyloid_PET ~ pTau217 + GFAP + sex + Calculated_Consensus_dx + apoe_binary,3.861506346
Amyloid_PET ~ ptau231 + pTau217 + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.861708462
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.861733381
Amyloid_PET ~ pTau217 + GFAP + apoe_ternary,3.86204728
Amyloid_PET ~ pTau217 + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.862056586
Amyloid_PET ~ ptau231 + pTau217 + GFAP + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.862405696
Amyloid_PET ~ pTau217 + time_diff + Calculated_Consensus_dx + apoe_ternary,3.862469352
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx,3.862705451
Amyloid_PET ~ ptau231 + pTau217 + sex + Calculated_Consensus_dx + apoe_ternary,3.86271536
Amyloid_PET ~ pTau217 + GFAP + sex + Calculated_Consensus_dx,3.863065757
Amyloid_PET ~ ptau181 + pTau217 + NFL + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.863327754
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.863334023
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + time_diff + Calculated_Consensus_dx + apoe_ternary,3.863390597
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Calculated_Consensus_dx + apoe_ternary,3.863532804
Amyloid_PET ~ ptau181 + pTau217 + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.86360374
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.863740405
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.863784329
Amyloid_PET ~ ptau181 + pTau217 + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.864209161
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Calculated_Consensus_dx + apoe_ternary,3.864854821
Amyloid_PET ~ ptau181 + pTau217 + Calculated_Consensus_dx + apoe_ternary,3.865591893
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + time_diff + apoe_ternary,3.865770673
Amyloid_PET ~ pTau217 + sex + apoe_ternary,3.865949518
Amyloid_PET ~ pTau217 + NFL + Calculated_Consensus_dx + apoe_ternary,3.866051332
Amyloid_PET ~ pTau217 + GFAP + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.866123861
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + sex + apoe_ternary,3.866338557
Amyloid_PET ~ ptau231 + pTau217 + GFAP + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.866609967
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + Calculated_Consensus_dx,3.866747658
Amyloid_PET ~ pTau217 + GFAP + time_diff + sex + Calculated_Consensus_dx,3.866929683
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.867105465
Amyloid_PET ~ pTau217 + GFAP + time_diff + apoe_ternary,3.867285076
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + time_diff + sex + Calculated_Consensus_dx,3.867322069
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + sex + Calculated_Consensus_dx,3.867647057
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + time_diff + Calculated_Consensus_dx + apoe_ternary,3.867881816
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.868181235
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + apoe_ternary,3.868215198
Amyloid_PET ~ pTau217 + GFAP + NFL + Calculated_Consensus_dx,3.868859176
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + apoe_ternary,3.869080915
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.869101002
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Calculated_Consensus_dx + apoe_ternary,3.869163089
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.869172718
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_binary,3.86922761
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + sex + Calculated_Consensus_dx + apoe_binary,3.869253095
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + time_diff + sex + apoe_ternary,3.869800492
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.870032052
Amyloid_PET ~ ptau231 + pTau217 + GFAP + time_diff + Calculated_Consensus_dx + apoe_ternary,3.870146686
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.870261313
Amyloid_PET ~ ptau231 + pTau217 + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.870410626
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.870662249
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + sex + Calculated_Consensus_dx,3.870915665
Amyloid_PET ~ ptau181 + pTau217 + GFAP + sex + apoe_ternary,3.871002696
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + sex + Calculated_Consensus_dx + apoe_ternary,3.871048771
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + apoe_ternary,3.871065073
Amyloid_PET ~ ptau181 + pTau217 + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.871199973
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + sex + Calculated_Consensus_dx,3.871221648
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + apoe_ternary,3.871236891
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + time_diff + sex + apoe_ternary,3.871261982
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + time_diff + sex + apoe_ternary,3.871686499
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + Calculated_Consensus_dx,3.871993342
Amyloid_PET ~ pTau217 + NFL + time_diff + Calculated_Consensus_dx + apoe_ternary,3.872420822
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + Calculated_Consensus_dx + apoe_binary,3.872446619
Amyloid_PET ~ pTau217 + sex + Calculated_Consensus_dx + apoe_binary,3.872605495
Amyloid_PET ~ ptau231 + pTau217 + NFL + sex + Calculated_Consensus_dx + apoe_ternary,3.872611098
Amyloid_PET ~ ptau231 + pTau217 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.872916775
Amyloid_PET ~ pTau217 + age_at_appointment + time_diff + sex + apoe_ternary,3.872978281
Amyloid_PET ~ ptau231 + pTau217 + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.87301327
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + time_diff + apoe_ternary,3.873092218
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.873324318
Amyloid_PET ~ ptau181 + pTau217 + time_diff + Calculated_Consensus_dx + apoe_ternary,3.873398973
Amyloid_PET ~ pTau217 + GFAP + NFL + Calculated_Consensus_dx + apoe_binary,3.873500682
Amyloid_PET ~ pTau217 + time_diff + sex + apoe_ternary,3.873575288
Amyloid_PET ~ pTau217 + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.873820207
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.87388314
Amyloid_PET ~ pTau217 + age_at_appointment + sex + Calculated_Consensus_dx,3.874422212
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.875206159
Amyloid_PET ~ ptau181 + pTau217 + GFAP + apoe_ternary,3.875274007
Amyloid_PET ~ pTau217 + NFL + sex + apoe_ternary,3.875411309
Amyloid_PET ~ ptau181 + pTau217 + GFAP + age_at_appointment + sex + apoe_ternary,3.875478954
Amyloid_PET ~ ptau181 + pTau217 + GFAP + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.875531183
Amyloid_PET ~ ptau181 + pTau217 + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.875698191
Amyloid_PET ~ ptau181 + pTau217 + GFAP + sex + Calculated_Consensus_dx + apoe_binary,3.87581607
Amyloid_PET ~ ptau181 + pTau217 + NFL + age_at_appointment + sex + apoe_ternary,3.875890118
Amyloid_PET ~ pTau217 + sex + Calculated_Consensus_dx,3.876096844
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + time_diff + Calculated_Consensus_dx + apoe_ternary,3.876330149
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_binary,3.876481428
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_binary,3.876485811
Amyloid_PET ~ pTau217 + GFAP + NFL + age_at_appointment + time_diff + Calculated_Consensus_dx,3.876783583
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + time_diff + apoe_ternary,3.876799204
Amyloid_PET ~ ptau181 + pTau217 + NFL + Calculated_Consensus_dx + apoe_ternary,3.876800335
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.876964695
Amyloid_PET ~ ptau181 + pTau217 + age_at_appointment + sex + apoe_ternary,3.877109196
Amyloid_PET ~ pTau217 + age_at_appointment + apoe_ternary,3.877576587
Amyloid_PET ~ ptau181 + pTau217 + GFAP + sex + Calculated_Consensus_dx,3.877683752
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + age_at_appointment + sex + apoe_ternary,3.877872478
Amyloid_PET ~ ptau181 + pTau217 + GFAP + time_diff + sex + apoe_ternary,3.877909597
Amyloid_PET ~ pTau217 + GFAP + Calculated_Consensus_dx,3.877919752
Amyloid_PET ~ pTau217 + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.877978368
Amyloid_PET ~ ptau231 + pTau217 + GFAP + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.878000999
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.879016208
Amyloid_PET ~ ptau231 + pTau217 + NFL + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.879108512
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.879140496
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + time_diff + Calculated_Consensus_dx,3.879145755
Amyloid_PET ~ pTau217 + GFAP + Calculated_Consensus_dx + apoe_binary,3.879175952
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + apoe_ternary,3.879711198
Amyloid_PET ~ pTau217 + GFAP + age_at_appointment + time_diff + apoe_ternary,3.879900487
Amyloid_PET ~ pTau217 + apoe_ternary,3.880171652
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + sex + Calculated_Consensus_dx + apoe_ternary,3.880418131
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Calculated_Consensus_dx,3.880444978
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + age_at_appointment + Calculated_Consensus_dx,3.880531025
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + age_at_appointment + sex + apoe_ternary,3.880710928
Amyloid_PET ~ pTau217 + time_diff + sex + Calculated_Consensus_dx,3.880736195
Amyloid_PET ~ pTau217 + GFAP + time_diff + Calculated_Consensus_dx,3.880942916
Amyloid_PET ~ ptau181 + pTau217 + GFAP + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.880945866
Amyloid_PET ~ ptau181 + pTau217 + GFAP + time_diff + apoe_ternary,3.881041097
Amyloid_PET ~ pTau217 + NFL + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.881104927
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + sex + apoe_ternary,3.881226227
Amyloid_PET ~ pTau217 + GFAP + NFL + time_diff + sex,3.881302918
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.881308857
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + age_at_appointment + sex + Calculated_Consensus_dx,3.881516067
Amyloid_PET ~ pTau217 + NFL + sex + Calculated_Consensus_dx + apoe_binary,3.881994486
Amyloid_PET ~ ptau181 + pTau217 + GFAP + time_diff + sex + Calculated_Consensus_dx,3.882079155
